,会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,color
4406,108912,道の駅「恐竜渓谷かつやま」 エリア,2,1975,47,40代,兵庫県,西宮市,200万円以上 300万円未満,mobile/android,2022-07-16 07:56:43,7月,道の駅「恐竜渓谷かつやま」 エリア,20.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),2泊,1泊,奥越前エリア（勝山市・大野市）,兵庫県,夫婦2人,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","10,000円以上 20,000円未満",2～5回目,選択なし/該当施設なし,たらたら山,選択なし/該当施設なし,ラブリー牧場,"1,000円未満",4,新しくできたこともありトイレがきれかったです。,感じなかった,,7,,,機会があれば行きたい,,blue
4407,108911,web,無回答,1973,49,40代,兵庫県,神戸市北区,300万円以上 400万円未満,mobile/android,2022-07-16 07:53:43,7月,JR敦賀駅前 エリア,48.JR敦賀駅前 エリア,敦賀市,嶺南東部,,1泊,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"地元の美味しいものを食べる
まちあるき、都市散策
ドライブ・ツーリング
",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"観光パンフレット・ポスター
インターネット・アプリ
観光協会等の案内所
",0,0,0,1,0,1,0,0,0,0,0,1,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,目的地の近くまで行けるから,使わない,"20,000円以上 30,000円未満","20,000円以上 30,000円未満",11回目以上,三方五湖,,越前松島水族館,,"3,000円以上 5,000円未満",4,,感じなかった,駅前がとても綺麗,9,福井県は来てみるまでは魅力を感じなかったけど、一度来たらわりとハマる魅力があちらこちらにある,駅のコンビニでもお土産売っているのは凄い,また行きたい（1年以内）,越前そば・ソースカツ丼食べたい,blue
4408,108910,東尋坊 エリア,1,1957,65,60代,兵庫県,神戸市兵庫区,400万円以上 500万円未満,mobile/iphone,2022-07-16 07:13:05,7月,東尋坊 エリア,06.東尋坊 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,2泊,2泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,恋人,"温泉や露天風呂
名所、旧跡の観光
",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"在来線
",0,0,0,1,0,0,0,"在来線
路線バス
",0,1,0,0,満足,えちぜん鉄道からバスなど接続がスムーズ,"40,000円以上 50,000円未満","10,000円以上 20,000円未満","30,000円以上 40,000円未満",2～5回目,大本山永平寺,,福井駅,,"5,000円以上 10,000円未満",4,荷物預かりなど助かった,感じなかった,,7,観光地でのきめ細かいサービスなど,概ね満足しています,また行きたい（1年以内）,蟹の季節にまた来たい,blue
4409,109167,福井駅前 エリア,1,1989,33,30代,大阪府,堺市北区,100万円以上 200万円未満,mobile/android,2022-07-17 23:42:41,7月,福井駅前 エリア,04.福井駅前 エリア,福井市,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,自分ひとり,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
観光連盟やDMOのHP
Twitter
",1,0,0,0,1,0,1,0,0,0,0,0,0,0,"在来線
",0,0,0,1,0,0,0,"在来線
",0,0,0,0,,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",6～10回目,福井駅,,選択なし/該当施設なし,芦原温泉,"1,000円以上 3,000円未満",4,魅力がある所がたくさんあった。,感じなかった,,8,,,また行きたい（1年以内）,,blue
4410,108816,web,1,1985,37,30代,福島県,福島市,500万円以上 600万円未満,mobile/iphone,2022-07-17 23:39:27,7月,道の駅「恐竜渓谷かつやま」 エリア,20.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),3泊,2泊,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,小学生以下連れの家族,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,選択肢なし,,"50,000円以上 100,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,使わない,3,トイレに利用しました。施設はとてもキレイでした。,感じなかった,,6,,,また行きたい（1年以内）,,yellow
4411,108816,web,1,1985,37,30代,福島県,福島市,500万円以上 600万円未満,mobile/iphone,2022-07-17 23:37:55,7月,日本海さかな街 エリア,46.日本海さかな街 エリア,敦賀市,嶺南東部,,3泊,2泊,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,小学生以下連れの家族,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"50,000円以上 100,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,水島,,大本山永平寺,,"1,000円以上 3,000円未満",3,観光地価格で、接客態度もいまいちでした。,感じなかった,,5,,,また行きたい（1年以内）,,yellow
4414,109161,あわら温泉 エリア,2,1971,51,50代,神奈川県,大和市,700万円以上 800万円未満,mobile/android,2022-07-17 22:12:09,7月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,3泊,2泊,福井エリア（福井市・永平寺町）,岐阜,夫婦2人,"地元の美味しいものを食べる
友人・親戚を尋ねる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,ワンコインで温泉は今どき珍しい。都会ではありえない。,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",2～5回目,福井県立恐竜博物館,,鷹巣海水浴場,,"20,000円以上 30,000円未満",5,食べ物も美味しいし、景色も綺麗。温泉も良かったです。,感じなかった,,10,コロナの影響で人動も少なくなっていますが、頑張っていると思います。貢献したい。,,また行きたい（1年以内）,,blue
4416,109159,web,1,1962,60,60代,東京都,日野市,分からない/無回答,mobile/android,2022-07-17 21:54:55,7月,道の駅「若狭おばま」 エリア,51.道の駅「若狭おばま」 エリア,小浜市,嶺南西部,(株)まちづくり小浜,2泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,滋賀県,夫婦2人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",初めて,彦根城（滋賀県）,,若狭歴史博物館,,"1,000円以上 3,000円未満",4,特にありません,感じなかった,,7,海がきれい,,機会があれば行きたい,,blue
4417,109157,東尋坊 エリア,2,1969,53,50代,兵庫県,伊丹市,500万円以上 600万円未満,mobile/iphone,2022-07-17 21:33:45,7月,東尋坊 エリア,06.東尋坊 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,選択なし/該当施設なし,,越前海岸,,"3,000円以上 5,000円未満",3,,感じた,荒磯公園駐車場からの東尋坊までの道が分かりづらかったです。,2,,,どちらともいえない,,yellow
4418,109151,道の駅「若狭おばま」 エリア,2,1980,42,40代,京都府,綾部市,分からない/無回答,mobile/iphone,2022-07-17 20:51:39,7月,道の駅「若狭おばま」 エリア,51.道の駅「若狭おばま」 エリア,小浜市,嶺南西部,(株)まちづくり小浜,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"スポーツ観戦や芸能鑑賞（コンサート等）
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Twitter
Instagram
友人・知人
観光協会等の案内所
",0,0,0,0,0,0,1,1,0,0,1,1,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,使わない,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,水まんじゅうソフトが美味しかった,感じなかった,,10,ご飯が美味しかった,,また行きたい（1年以内）,地元の料理を学んだみたい,blue
4419,109029,道の駅「恐竜渓谷かつやま」 エリア,2,1978,44,40代,兵庫県,神戸市西区,600万円以上 700万円未満,mobile/iphone,2022-07-17 20:33:46,7月,スーベニアショップ ラプトル エリア,19.スーベニアショップ ラプトル エリア,大野市,勝山市・大野市,勝山市観光まちづくり(株),2泊,2泊,奥越前エリア（勝山市・大野市）,福井県外には宿泊しない,小学生以下連れの家族,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",初めて,選択なし/該当施設なし,道の駅勝山,福井県立恐竜博物館,,"5,000円以上 10,000円未満",4,たくさん遊んでたくさん買い物できた。電子マネーも使えて便利だった。,感じた,2万円以上使ったのにお土産の袋が有料なのは残念だった。その後恐竜博物館の中のお土産ショップで似たようなものがあり、袋が無料だったので買う店を間違えたと感じたが、購入したとのを車において博物館を見ることができたので、それで良しとした,8,恐竜博物館と野外恐竜博物館の調査に行くために福井に行くべきだとすすめたい。私達も博物館と野外調査のために今回2泊3日できましたり,お土産に関しては袋代をこみにしてほしい。紙袋で良いからつけて欲しい。,機会があれば行きたい,恐竜博物館の中のカフェのような恐竜バーガーとか恐竜を全面におしだして欲しい。福井といえば恐竜。,blue
4420,109149,web,2,1991,31,30代,福井県,坂井市,分からない/無回答,mobile/iphone,2022-07-17 20:33:28,7月,北潟湖 エリア,14.北潟湖 エリア,あわら市,あわら市・坂井市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"名所、旧跡の観光
まちあるき、都市散策
",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ
友人・知人
",0,0,0,0,0,1,0,0,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","1,000円以上 3,000円未満",6～10回目,越前加賀県境の館,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,祖母が亡くなる前に一緒に来れば良かったな、と思えるほど雰囲気と居心地が良く、湖の眺めも良かったから。,感じなかった,,9,長閑で落ち着く。喧騒を離れてゆっくりするのにもってこいだから。,,福井県在住,,blue
4421,109148,web,1,1979,43,40代,京都府,京都市右京区,"900万円以上 1,000万円未満",mobile/iphone,2022-07-17 20:19:58,7月,箸のふるさと館WAKASA エリア,58.箸のふるさと館WAKASA エリア,小浜市,嶺南西部,(株)まちづくり小浜,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",初めて,選択なし/該当施設なし,,ホテルうみんぴあ,,"1,000円以上 3,000円未満",4,欲しいと思っていた漆塗りの箸を購入できたので。,感じなかった,,8,食べ物も観光も非常に満足できたので。,箸の専門館的位置づけとして、満足できるものでした。,また行きたい（1年以内）,ブランディングが上手く広まりつつある、これから期待のエリアだと感じました。各施設での広報の注力度合いや、イベントへの取り組み度合い、リーフレットや観光マップなどの充実さなど、力の入れ具合を非常に感じられるものでした。,blue
4423,109148,web,1,1979,43,40代,京都府,京都市右京区,"900万円以上 1,000万円未満",mobile/iphone,2022-07-17 20:14:14,7月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
まちあるき、都市散策
",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"観光パンフレット・ポスター
インターネット・アプリ
",0,0,0,1,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",初めて,きのこの森,,敦賀赤レンガ倉庫,,"10,000円以上 20,000円未満",5,食べ物も施設も非常にクオリティが高く、旅行として大変満足度が高いと感じた為。,感じなかった,,9,自然との触れ合いと、食べ物が美味しかった点が大きいです。また、出会う人の親切さが特に印象に残りました。,お酒や海産物をはじめ、特産物が非常に多く、地域の特色が非常に感じられる良い旅になりました。お土産を選ぶのにも、あれこれ迷ってしまい、それもまた楽しいひと時になりました。,また行きたい（1年以内）,海鮮に係る飲食関係（定食2回も頂きました）は、コストパフォーマンスの良さに正直びっくりしました。他府県からの観光客からすると、かなりの推しポイントになるかと思います。,blue
4424,107555,道の駅「越前おおの荒島の郷」 エリア,1,1971,51,50代,滋賀県,長浜市,500万円以上 600万円未満,mobile/android,2022-07-17 19:51:07,7月,うるしの里 エリア,34.うるしの里 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"名所、旧跡の観光
まちあるき、都市散策
友人・親戚を尋ねる
",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"Instagram
観光協会等の案内所
",0,0,0,0,0,0,0,1,0,0,0,1,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"3,000円以上 5,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",6～10回目,花はす公園,,福井駅,,"1,000円以上 3,000円未満",5,河和田の漆産業について広く学ぶことができた,感じなかった,利用させてもらえる公共のトイレが少ない,8,伝統産業についてよく学べる点,,また行きたい（1年以内）,"飲食について
大手外食チェーンももちろん出店しており、それはそれでいいところがあるのは当然ですが、福井は大手ではない地元のチェーンや家族経営的な飲食店で魅力的なところも多く残ってる印象です。そんなお店がお客さんを増やせるような施策、プロモーションに力をいれていただき、一見さんでも小さな、でもおいしそうなお店について気軽にのれんをくぐれるようになるといいなとおもいます。",blue
4427,109147,一乗谷朝倉氏遺跡 エリア,2,1986,36,30代,福井県,大野市,400万円以上 500万円未満,mobile/iphone,2022-07-17 19:24:55,7月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,小学生以下連れの家族,"温泉や露天風呂
地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
テーマパーク（遊園地、動物園、博物館など）
",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
新聞・雑誌・ガイドブック
TV・ラジオ番組やCM
インターネット・アプリ
",1,1,1,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,謎解きや宝探しやコイに餌やりなど、子供が喜ぶイベントがいろいろありとても家族で楽しめました。また、歴史的な名所にも訪れることができ良かったです。半日かけてゆっくり楽しめ、周りの知人にもぜひオススメしたいです。,"30,000円以上 40,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,一乗谷朝倉氏遺跡,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,クイズや宝探しわ鯉の餌やりなどができて、家族みんなで楽しめました。また、謎解きを解けたことで子供に達成感を与えてあげることができ良かったです。コロナで外出できなかったのですごく有難かったです。,感じなかった,,10,食も美味しいし、景色もよく、すごくいいところなのでぜひオススメしたいです。,謎解き、宝探し、鯉の餌やり,また行きたい（1年以内）,,blue
4428,107468,越前陶芸村 エリア,2,1984,38,30代,福井県,越前市,分からない/無回答,mobile/iphone,2022-07-17 19:23:43,7月,越前和紙の里 エリア,28.越前和紙の里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
観光パンフレット・ポスター
",1,0,0,1,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,とても満足,歩いた風景も良かった。,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,レインボーライン,,今庄宿,,"5,000円以上 10,000円未満",5,職人さんを間近に見れて、興味が深まりました。,感じなかった,,8,職人の和紙技術,楽しかった。,福井県在住,歴史を感じられる施設,blue
4429,109114,web,2,1984,38,30代,兵庫県,尼崎市,"1,200万円以上 1,500万円未満",mobile/iphone,2022-07-17 19:14:16,7月,一乗谷朝倉氏遺跡 エリア,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,大本山永平寺,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",5,遺跡を訪れたことによって、朝倉氏の当時の生活を感じることができよかったです。,感じなかった,,8,,,機会があれば行きたい,,blue
4430,100594,web,1,1961,61,60代,福井県,鯖江市,400万円以上 500万円未満,mobile/android,2022-07-17 19:07:30,7月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
Facebook
",0,0,0,0,0,1,0,0,1,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,トイレが綺麗で気持ち良かった。,使わない,"3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,越前大野城,,選択なし/該当施設なし,,"1,000円未満",4,楽しくアンケート出来ました。,感じなかった,,8,,,また行きたい（1年以内）,,blue
4431,109114,web,2,1984,38,30代,兵庫県,尼崎市,"1,200万円以上 1,500万円未満",mobile/iphone,2022-07-17 19:05:09,7月,平泉寺白山神社 エリア,23.平泉寺白山神社 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
テーマパーク（遊園地、動物園、博物館など）
",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,選択肢なし,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,大本山永平寺,,一乗谷朝倉氏遺跡,,"3,000円以上 5,000円未満",4,永平寺がとても良かったから。,感じなかった,,8,"永平寺
実際にお寺に参拝してみて、建物の荘厳さや永平寺の教えに触れて、人生観が変わりました。",,機会があれば行きたい,,blue
4434,109141,スキージャム勝山 エリア,2,1978,44,40代,東京都,杉並区,"1,000万円以上 1,200万円未満",mobile/android,2022-07-17 17:55:17,7月,スキージャム勝山 エリア,21.スキージャム勝山 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),2泊,2泊,奥越前エリア（勝山市・大野市）,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ホテルのバス,"新聞・雑誌・ガイドブック
ブログ
",0,1,0,0,0,0,0,0,0,1,0,0,0,0,"飛行機
",0,0,0,0,1,0,0,"その他
",0,0,0,0,どちらでもない,本数がもっと多いと助かる。,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,福井県立恐竜博物館,,選択なし/該当施設なし,なし,"30,000円以上 40,000円未満",4,交通の便は悪いが、子供が喜ぶものばかり。,感じた,大人１人と子供１人でも恐竜ルームに泊まれるようにしてほしい。,6,交通の便は悪いが、恐竜好きにはオススメ。,海の幸。,機会があれば行きたい,海の幸,blue
4435,109131,越前海岸 エリア,2,1987,35,30代,神奈川県,横浜市鶴見区,400万円以上 500万円未満,mobile/iphone,2022-07-17 17:54:27,7月,越前海岸 エリア,02.越前海岸 エリア,福井市,福井市・永平寺町,,2泊,2泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,自分ひとり,"地元の美味しいものを食べる
買い物、アウトレット
友人・親戚を尋ねる
",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
飛行機
",1,0,0,0,1,0,0,"自家用車
",0,0,0,0,選択肢なし,,使わない,"5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,金津創作の森,東尋坊,越前そばの里,,"1,000円以上 3,000円未満",5,天気の良い日に海沿いをドライブしました。ネットの口コミで出てきたおしゃれなカフェにも寄れて美味しいものも堪能できて、充実した1日を過ごせました。,感じなかった,,7,海岸沿いは昔ながらの観光地というイメージを持っていたのですが、おしゃれなカフェやキャンプ場が出来ていて、また友達と来たいと思いました。,"気軽に寄れるカフェとお土産のような物産展が一緒になっているお店があると嬉しいです。
海沿いは立地上難しいと思うのですが、車の駐車スペースが狭いところが多いので、ゆったり歩けるように広くなったらより便利だと感じました。",また行きたい（1年以内）,,blue
4436,109140,花の駅 ゆりの里公園 エリア,1,1989,33,30代,福井県,福井市,300万円以上 400万円未満,mobile/iphone,2022-07-17 17:53:28,7月,花の駅 ゆりの里公園 エリア,09.花の駅 ゆりの里公園 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,選択肢なし,,使わない,"1,000円未満","1,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,使わない,5,,感じなかった,,8,,,福井県在住,いいところはたくさんあるのになかなか知られていない。もっとアピールしてほしい。ホテルなんかも恐竜がいる変なホテルやレゴ、サンリオとかとコラボして旅行者を県外に逃さないようにしてほしい。（観光は福井で宿泊は金沢などをさせない）,blue
4438,109138,御食国若狭おばま食文化館 エリア,無回答,1971,51,50代,埼玉県,さいたま市中央区,分からない/無回答,mobile/iphone,2022-07-17 17:45:28,7月,御食国若狭おばま食文化館 エリア,54.御食国若狭おばま食文化館 エリア,小浜市,嶺南西部,(株)まちづくり小浜,2泊,2泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
名所、旧跡の観光
テーマパーク（遊園地、動物園、博物館など）
",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"TV・ラジオ番組やCM
インターネット・アプリ
",0,0,1,0,0,1,0,0,0,0,0,0,0,0,"新幹線
在来線
",0,1,1,0,0,0,0,"レンタカー
",0,0,0,0,とても満足,自分の都合で自由に動けるから。,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","10,000円以上 20,000円未満",初めて,氣比神宮,,福井県年縞博物館,,"1,000円未満",5,北前船から鯖街道、福井の歴史、三方五湖の年縞などについて、非常にわかりやすく知ることができました。,感じた,食事をするところが、もう少しあると便利です。,8,各施設の説明がわかりやすく、おもしろい。,今度は2階の、自分で作ってみるアクティビティに参加したいです。,また行きたい（1年以内）,,blue
